"Timestamp","TZ","GHI1_AV (W/m2)","UVB22013 (W/m2)","UVB22013_AV (W/m2)","UVB22013_SD (W/m2)","UVB22012 (W/m2)","UVB22012_AV (W/m2)","UVB22012_SD (W/m2)","TA_AV (degC)","TL (degC)","GTI_AV (W/m2)"
2026/05/24 00:00:00.277,n,-4.148997,6.109319,4.711367,1.169024,OverRange,OverRange,OverRange,10.755636,13.31902,-4.397243
2026/05/24 00:01:00.265,n,-4.196084,4.033711,4.477034,0.893027,OverRange,OverRange,OverRange,10.625148,13.316872,-4.50236
2026/05/24 00:02:00.265,n,-4.193133,6.3365,5.60837,1.106003,OverRange,OverRange,OverRange,10.75233,13.312556,-4.574543
2026/05/24 00:03:00.269,n,-4.219307,6.275338,5.566759,1.241062,OverRange,OverRange,OverRange,10.652558,13.312556,-4.668055
2026/05/24 00:04:00.269,n,-4.160544,6.114663,5.728612,1.012861,OverRange,OverRange,OverRange,10.675156,13.299592,-4.514134
2026/05/24 00:05:00.272,n,-4.184152,5.98331,5.641981,1.204128,OverRange,OverRange,OverRange,10.708394,13.293126,-4.467377
2026/05/24 00:06:00.272,n,-4.286536,6.119252,5.489958,1.140384,OverRange,OverRange,OverRange,10.717316,13.28666,-4.519851
2026/05/24 00:07:00.276,n,-4.207631,4.033913,4.073107,0.327599,OverRange,OverRange,OverRange,10.616028,13.285602,-4.500397
2026/05/24 00:08:00.277,n,-4.309887,5.870657,5.126191,0.974167,OverRange,OverRange,OverRange,10.779506,13.278028,-4.360043
2026/05/24 00:09:00.278,n,-4.169654,6.343822,5.463645,1.125788,OverRange,OverRange,OverRange,10.668804,13.273714,-4.479152
2026/05/24 00:10:00.265,n,-4.216356,6.256938,4.718628,1.100175,OverRange,OverRange,OverRange,10.67008,13.265066,-4.504408
2026/05/24 00:11:00.266,n,-4.172733,4.149451,5.081362,1.369997,OverRange,OverRange,OverRange,10.594122,13.270424,-4.430093
2026/05/24 00:12:00.270,n,-4.20468,6.164887,5.120548,1.29581,OverRange,OverRange,OverRange,10.68809,13.257526,-4.492633
2026/05/24 00:13:00.274,n,-4.148869,6.203528,4.567962,1.363104,OverRange,OverRange,OverRange,10.64111,13.249968,-4.37779
2026/05/24 00:14:00.273,n,-4.269087,3.813701,3.792976,0.168332,OverRange,OverRange,OverRange,10.580974,13.24567,-4.412686
2026/05/24 00:15:00.274,n,-4.286536,3.690838,4.77116,1.110388,OverRange,OverRange,OverRange,10.655858,13.234856,-4.500397
2026/05/24 00:16:00.276,n,-4.286664,3.790263,4.758832,1.298868,OverRange,OverRange,OverRange,10.572042,13.227298,-4.445791
2026/05/24 00:17:00.280,n,-4.386226,3.701101,4.826705,1.171793,OverRange,OverRange,OverRange,10.579922,13.219726,-4.519936
2026/05/24 00:18:00.281,n,-4.655658,3.878235,4.479986,1.215892,OverRange,OverRange,OverRange,10.611424,13.231484,-4.734351
2026/05/24 00:19:00.266,n,-4.018259,5.967255,4.763031,1.069079,OverRange,OverRange,OverRange,10.731038,13.226044,-4.25194
2026/05/24 00:20:00.268,n,-4.061753,6.037388,6.010593,0.042684,OverRange,OverRange,OverRange,10.664068,13.215248,-4.383847
2026/05/24 00:21:00.271,n,-3.968093,3.86496,4.648896,1.096446,OverRange,OverRange,OverRange,10.601838,13.205508,-4.333337
2026/05/24 00:22:00.272,n,-4.064576,6.22751,4.192682,1.000121,OverRange,OverRange,OverRange,10.727754,13.18823,-4.156038
2026/05/24 00:23:00.275,n,-3.906765,4.001084,4.952086,1.249714,OverRange,OverRange,OverRange,10.592678,13.181764,-4.177624
2026/05/24 00:24:00.276,n,-3.798223,6.134528,6.175446,0.252738,OverRange,OverRange,OverRange,10.65594,13.172026,-4.109281
2026/05/24 00:25:00.277,n,-3.766019,4.103119,5.429707,1.233741,OverRange,OverRange,OverRange,10.558406,13.163394,-4.177539
2026/05/24 00:26:00.279,n,-3.962191,4.849314,5.621146,0.822603,OverRange,OverRange,OverRange,10.659724,13.160138,-4.321563
2026/05/24 00:27:00.282,n,-3.871097,3.724298,4.186854,0.908165,OverRange,OverRange,OverRange,10.64856,13.150462,-4.12097
2026/05/24 00:28:00.267,n,-3.839151,4.021305,4.91801,1.214281,OverRange,OverRange,OverRange,10.660472,13.145072,-4.195201
2026/05/24 00:29:00.268,n,-4.023647,3.882538,4.749496,1.164439,OverRange,OverRange,OverRange,10.628738,13.146148,-4.259363
2026/05/24 00:30:00.271,n,-4.143609,3.632818,5.010083,1.377175,OverRange,OverRange,OverRange,10.61879,13.140724,-4.304157
2026/05/24 00:31:00.272,n,-4.134756,3.781714,4.531795,1.298667,OverRange,OverRange,OverRange,10.613744,13.13211,-4.237947
2026/05/24 00:32:00.274,n,-4.12616,3.903873,3.86769,0.049948,OverRange,OverRange,OverRange,10.633352,13.127762,-4.253305
2026/05/24 00:33:00.276,n,-3.970916,6.082741,4.754191,0.92318,OverRange,OverRange,OverRange,10.652634,13.123446,-4.130612
2026/05/24 00:34:00.279,n,-3.847875,3.968486,5.286286,0.746668,OverRange,OverRange,OverRange,10.560436,13.120188,-4.389906
2026/05/24 00:35:00.281,n,-3.827475,3.705569,5.118344,1.164453,OverRange,OverRange,OverRange,10.594692,13.112664,-4.138632
2026/05/24 00:36:00.282,n,-3.803996,3.884049,5.306201,1.250755,OverRange,OverRange,OverRange,10.549754,13.109408,-4.156123
2026/05/24 00:37:00.268,n,-4.038274,4.868338,5.321157,1.027427,OverRange,OverRange,OverRange,10.641418,13.109408,-4.31576
2026/05/24 00:38:00.600,n,-3.8158,3.484945,5.340193,1.379514,OverRange,OverRange,OverRange,10.590632,13.098594,-4.165764
2026/05/24 00:39:00.272,n,-3.880207,3.862576,4.968282,1.066783,OverRange,OverRange,OverRange,10.574128,13.095386,-4.171566
2026/05/24 00:40:00.275,n,-3.803996,6.42744,4.845123,1.370413,OverRange,OverRange,OverRange,10.672948,13.095386,-4.115168
2026/05/24 00:41:00.275,n,-3.683906,4.044548,4.226158,0.604321,OverRange,OverRange,OverRange,10.562704,13.089962,-4.056723
2026/05/24 00:42:00.277,n,-3.666457,5.92522,5.672005,0.449052,OverRange,OverRange,OverRange,10.691738,13.083498,-3.976776
2026/05/24 00:43:00.280,n,-3.613726,6.29962,4.890517,1.092805,OverRange,OverRange,OverRange,10.623648,13.087812,-4.051006
2026/05/24 00:44:00.281,n,-3.572798,4.011882,4.341239,0.860609,OverRange,OverRange,OverRange,10.564992,13.082392,-4.056723
2026/05/24 00:45:00.283,n,-3.598971,3.067088,4.848205,1.514596,OverRange,OverRange,OverRange,10.64648,13.080242,-3.980786
2026/05/24 00:46:00.270,n,-3.605001,6.266339,4.248243,0.993652,OverRange,OverRange,OverRange,10.702388,13.082392,-3.914406
2026/05/24 00:47:00.272,n,-3.587296,5.618826,4.700691,1.244722,OverRange,OverRange,OverRange,10.647766,13.075892,-4.025495
2026/05/24 00:48:00.256,n,-3.599227,6.3978,5.052468,1.435206,OverRange,OverRange,OverRange,10.638118,13.078074,-4.152113
2026/05/24 00:49:00.277,n,-3.663378,4.263611,4.527667,0.987204,OverRange,OverRange,OverRange,10.604848,13.081316,-4.109281
2026/05/24 00:50:00.277,n,-3.739845,6.273749,5.267406,1.261078,OverRange,OverRange,OverRange,10.68867,13.073792,-4.089828
2026/05/24 00:51:00.262,n,-3.72214,4.492903,5.055936,1.32523,OverRange,OverRange,OverRange,10.574902,13.069428,-4.159962
2026/05/24 00:52:00.265,n,-3.86263,6.191766,5.227467,1.239067,OverRange,OverRange,OverRange,10.687658,13.070534,-4.037184
2026/05/24 00:53:00.266,n,-4.009021,3.721742,4.624389,1.344393,OverRange,OverRange,OverRange,10.573106,13.066218,-4.319771
2026/05/24 00:54:00.269,n,-3.93589,3.586894,4.92931,1.448314,OverRange,OverRange,OverRange,10.64265,13.066218,-4.045119
2026/05/24 00:55:00.271,n,-4.079202,6.043197,5.01636,1.342181,OverRange,OverRange,OverRange,10.649532,13.062944,-3.982748
2026/05/24 00:56:00.257,n,-3.789498,3.525862,4.526851,1.407334,OverRange,OverRange,OverRange,10.569524,13.07161,-3.943671
2026/05/24 00:57:00.258,n,-3.7954,3.162358,4.906442,1.567712,OverRange,OverRange,OverRange,10.597458,13.067294,-3.924303
2026/05/24 00:58:00.260,n,-3.707514,6.424354,5.032122,1.526487,OverRange,OverRange,OverRange,10.6005,13.069428,-3.858008
2026/05/24 00:59:00.262,n,-3.663763,3.610184,4.893084,1.366677,OverRange,OverRange,OverRange,10.534486,13.059722,-4.045033
2026/05/24 01:00:00.263,n,-3.558299,4.526452,4.70416,1.161592,OverRange,OverRange,OverRange,10.56778,13.062944,-3.932067
2026/05/24 01:01:00.265,n,-3.552269,6.310755,4.656848,1.279026,OverRange,OverRange,OverRange,10.618058,13.062944,-3.881301
2026/05/24 01:02:00.269,n,-3.438082,6.505777,5.851544,0.827218,OverRange,OverRange,OverRange,10.602072,13.060796,-4.006127
2026/05/24 01:03:00.272,n,-3.31812,6.623342,4.800097,1.032127,OverRange,OverRange,OverRange,10.494858,13.062944,-3.963295
2026/05/24 01:04:00.274,n,-3.26526,5.786312,6.194743,0.235984,OverRange,OverRange,OverRange,10.524888,13.064038,-3.966964
2026/05/24 01:05:00.257,n,-3.329924,6.284426,5.084747,1.1806,OverRange,OverRange,OverRange,10.587338,13.061904,-3.965087
2026/05/24 01:06:00.260,n,-3.277064,5.068688,5.576888,0.888795,OverRange,OverRange,OverRange,10.529446,13.066218,-3.978739
