"Timestamp","TZ","GHI1_AV (W/m2)","UVB22013 (W/m2)","UVB22013_AV (W/m2)","UVB22013_SD (W/m2)","UVB22012 (W/m2)","UVB22012_AV (W/m2)","UVB22012_SD (W/m2)","TA_AV (degC)","TL (degC)","GTI_AV (W/m2)"
2026/05/30 00:00:00.273,n,-2.366383,6.178504,5.287456,1.266421,OverRange,OverRange,OverRange,11.384136,14.29454,-3.218604
2026/05/30 00:01:00.258,n,-2.349063,3.794556,4.274472,1.184031,OverRange,OverRange,OverRange,11.31955,14.292406,-3.214765
2026/05/30 00:02:00.260,n,-2.378059,6.10698,4.657597,1.261678,OverRange,OverRange,OverRange,11.450496,14.289214,-3.039513
2026/05/30 00:03:00.262,n,-2.375236,6.809393,5.578242,1.332407,OverRange,OverRange,OverRange,11.366156,14.290288,-3.321929
2026/05/30 00:04:00.281,n,-2.272852,3.900022,4.589655,1.29661,OverRange,OverRange,OverRange,11.33222,14.29133,-3.134903
2026/05/30 00:05:00.395,n,-2.31981,6.10932,6.221518,0.146461,OverRange,OverRange,OverRange,11.464438,14.292406,-3.084393
2026/05/30 00:06:00.317,n,-2.416421,4.794351,4.816841,1.006413,OverRange,OverRange,OverRange,11.40744,14.290288,-3.214764
2026/05/30 00:07:00.316,n,-2.404617,6.384681,5.277998,1.450266,OverRange,OverRange,OverRange,11.411474,14.29454,-3.199236
2026/05/30 00:08:00.273,n,-2.246679,6.656671,5.147657,1.339745,OverRange,OverRange,OverRange,11.36108,14.296692,-3.199065
2026/05/30 00:09:00.275,n,-2.246422,6.8753,4.908664,1.741497,OverRange,OverRange,OverRange,11.391476,14.298874,-3.140791
2026/05/30 00:10:00.260,n,-2.269773,3.288104,4.15238,1.21067,OverRange,OverRange,OverRange,11.354244,14.298874,-3.086184
2026/05/30 00:11:00.264,n,-2.208445,3.658932,4.549288,1.366801,OverRange,OverRange,OverRange,11.401872,14.301008,-3.070741
2026/05/30 00:12:00.265,n,-2.272724,6.391598,5.034683,1.605897,OverRange,OverRange,OverRange,11.456288,14.298874,-3.006494
2026/05/30 00:13:00.266,n,-2.240777,6.467198,5.235098,1.263699,OverRange,OverRange,OverRange,11.40213,14.298874,-3.150602
2026/05/30 00:14:00.269,n,-2.384217,5.203765,5.091234,0.984,OverRange,OverRange,OverRange,11.42543,14.297832,-3.177735
2026/05/30 00:15:00.270,n,-2.357659,3.70235,4.928674,1.453078,OverRange,OverRange,OverRange,11.41503,14.295648,-3.171848
2026/05/30 00:16:00.272,n,-2.284399,6.296199,5.193487,1.524495,OverRange,OverRange,OverRange,11.43681,14.293514,-3.064854
2026/05/30 00:17:00.275,n,-2.222943,6.125393,5.246878,1.267382,OverRange,OverRange,OverRange,11.407436,14.29454,-3.158196
2026/05/30 00:18:00.275,n,-2.240649,3.765689,4.331159,1.129373,OverRange,OverRange,OverRange,11.36667,14.287046,-3.148555
2026/05/30 00:19:00.262,n,-2.235003,3.524284,4.852446,1.2388,OverRange,OverRange,OverRange,11.44569,14.287046,-3.088147
2026/05/30 00:20:00.264,n,-2.307878,6.421457,4.95284,1.381989,OverRange,OverRange,OverRange,11.47025,14.28382,-3.08627
2026/05/30 00:21:00.265,n,-2.237954,3.817771,4.744685,1.333624,OverRange,OverRange,OverRange,11.425172,14.28278,-3.205038
2026/05/30 00:22:00.270,n,-2.410647,6.021971,5.772756,1.107351,OverRange,OverRange,OverRange,11.510758,14.274194,-3.193178
2026/05/30 00:23:00.270,n,-2.322633,6.22687,5.77477,1.18055,OverRange,OverRange,OverRange,11.40212,14.275218,-3.226454
2026/05/30 00:24:00.271,n,-2.217426,3.354508,5.122775,1.402447,OverRange,OverRange,OverRange,11.349446,14.273102,-3.169971
2026/05/30 00:25:00.273,n,-2.419243,3.372218,4.549357,1.508952,OverRange,OverRange,OverRange,11.404394,14.26771,-3.232341
2026/05/30 00:26:00.274,n,-2.264128,6.453971,5.041678,1.613596,OverRange,OverRange,OverRange,11.461102,14.266634,-3.099836
2026/05/30 00:27:00.276,n,-2.398715,3.262115,4.654667,1.511589,OverRange,OverRange,OverRange,11.415278,14.262318,-3.255634
2026/05/30 00:28:00.262,n,-2.465945,6.170601,5.121487,1.498291,OverRange,OverRange,OverRange,11.472754,14.259156,-3.220652
2026/05/30 00:29:00.264,n,-2.278882,6.516197,4.971588,1.310584,OverRange,OverRange,OverRange,11.440602,14.265558,-3.171848
2026/05/30 00:30:00.267,n,-2.261305,6.26553,4.646759,1.449199,OverRange,OverRange,OverRange,11.412496,14.2602,-3.163998
2026/05/30 00:31:00.269,n,-2.509952,6.352172,5.084675,1.465302,OverRange,OverRange,OverRange,11.418066,14.268068,-3.312032
2026/05/30 00:32:00.270,n,-1.916304,6.438985,4.926453,1.666519,OverRange,OverRange,OverRange,11.403956,14.272386,-2.926717
2026/05/30 00:33:00.271,n,-2.12351,4.0958,5.043576,1.444477,OverRange,OverRange,OverRange,11.392056,14.271326,-2.994549
2026/05/30 00:34:00.273,n,-2.032801,3.622811,4.495826,1.446602,OverRange,OverRange,OverRange,11.378144,14.26489,-2.996511
2026/05/30 00:35:00.276,n,-2.050635,6.103518,6.06876,0.765587,OverRange,OverRange,OverRange,11.409312,14.263784,-3.045059
2026/05/30 00:36:00.277,n,-2.032544,6.104781,5.283153,1.419108,OverRange,OverRange,OverRange,11.404222,14.263784,-3.054957
2026/05/30 00:37:00.263,n,-2.155713,6.256521,5.269122,1.42841,OverRange,OverRange,OverRange,11.404232,14.263784,-3.099666
