"Timestamp","TZ","GHI1_AV (W/m2)","UVB22013 (W/m2)","UVB22013_AV (W/m2)","UVB22013_SD (W/m2)","UVB22012 (W/m2)","UVB22012_AV (W/m2)","UVB22012_SD (W/m2)","TA_AV (degC)","TL (degC)","GTI_AV (W/m2)"
2026/06/09 00:00:00.286,n,-5.223775,3.888921,4.893413,1.25764,OverRange,OverRange,OverRange,10.230052,13.15732,-5.098932
2026/06/09 00:01:00.269,n,-5.229677,4.558356,4.963325,1.244796,OverRange,OverRange,OverRange,10.28622,13.13465,-5.141763
2026/06/09 00:02:00.273,n,-5.206198,3.973843,5.340738,1.088335,OverRange,OverRange,OverRange,10.28419,13.114162,-5.188605
2026/06/09 00:03:00.259,n,-5.446505,3.829705,5.184985,1.022219,OverRange,OverRange,OverRange,10.243526,13.128804,-5.190568
2026/06/09 00:04:00.260,n,-4.905845,5.774847,4.640645,0.902305,OverRange,OverRange,OverRange,10.249868,13.101818,-4.770698
2026/06/09 00:05:00.263,n,-4.771001,4.500322,5.521481,0.50771,OverRange,OverRange,OverRange,10.200272,13.086624,-4.836908
2026/06/09 00:06:00.264,n,-5.215564,3.818541,4.178935,1.001329,OverRange,OverRange,OverRange,10.182684,13.056416,-5.019326
2026/06/09 00:07:00.265,n,-5.253669,5.833575,5.238748,0.776704,OverRange,OverRange,OverRange,10.325318,13.039072,-5.062243
2026/06/09 00:08:00.267,n,-5.098168,5.805436,5.391283,0.976845,OverRange,OverRange,OverRange,10.27245,13.029334,-5.075895
2026/06/09 00:09:00.270,n,-5.074946,6.23858,5.078976,1.062665,OverRange,OverRange,OverRange,10.244466,13.006698,-5.126576
2026/06/09 00:10:00.272,n,-5.013489,6.182428,5.251629,1.139465,OverRange,OverRange,OverRange,10.198956,12.986146,-5.10499
2026/06/09 00:11:00.256,n,-5.013233,3.945341,3.840851,0.159387,OverRange,OverRange,OverRange,10.136144,12.969944,-5.003798
2026/06/09 00:12:00.263,n,-5.010539,6.015419,5.464247,1.132542,OverRange,OverRange,OverRange,10.166402,12.948188,-5.108915
2026/06/09 00:13:00.264,n,-4.990011,6.326547,5.382547,1.172985,OverRange,OverRange,OverRange,10.150874,12.934248,-5.116679
2026/06/09 00:14:00.265,n,-5.083798,5.851794,4.566817,1.099607,OverRange,OverRange,OverRange,10.131282,12.914918,-5.235703
2026/06/09 00:15:00.267,n,-5.034018,3.592589,4.838798,1.358189,OverRange,OverRange,OverRange,10.112966,12.89777,-5.292187
2026/06/09 00:16:00.272,n,-5.107278,3.569134,4.827778,1.350738,OverRange,OverRange,OverRange,10.117564,12.881648,-5.38971
2026/06/09 00:17:00.269,n,-5.197858,3.533611,4.695538,1.157993,OverRange,OverRange,OverRange,10.128764,12.86232,-5.372133
2026/06/09 00:18:00.270,n,-5.209533,6.175974,5.012161,1.41473,OverRange,OverRange,OverRange,10.129522,12.844032,-5.346792
2026/06/09 00:19:00.274,n,-5.15693,6.338774,4.882831,1.528962,OverRange,OverRange,OverRange,10.010182,12.827894,-5.339113
2026/06/09 00:20:00.258,n,-5.209662,6.266012,4.974116,1.218854,OverRange,OverRange,OverRange,10.062348,12.812882,-5.218212
2026/06/09 00:21:00.259,n,-5.227368,5.471308,4.734301,1.28041,OverRange,OverRange,OverRange,10.01502,12.79567,-5.354557
2026/06/09 00:22:00.263,n,-5.145127,6.638428,5.244372,1.428149,OverRange,OverRange,OverRange,10.05598,12.77955,-5.383993
2026/06/09 00:23:00.263,n,-5.095602,6.204351,4.895492,1.459644,OverRange,OverRange,OverRange,10.012736,12.76237,-5.331264
2026/06/09 00:24:00.265,n,-5.048773,6.085267,4.848666,1.461783,OverRange,OverRange,OverRange,10.030284,12.746232,-5.321537
2026/06/09 00:25:00.268,n,-4.969354,6.17283,5.027199,1.428492,OverRange,OverRange,OverRange,10.03359,12.72907,-5.469656
2026/06/09 00:26:00.273,n,-4.995912,6.270767,4.6353,1.455347,OverRange,OverRange,OverRange,10.040716,12.713974,-5.418975
2026/06/09 00:27:00.271,n,-4.954728,3.47775,4.808103,1.469948,OverRange,OverRange,OverRange,10.064378,12.702154,-5.309848
2026/06/09 00:28:00.259,n,-4.925604,5.789282,5.641278,1.141482,OverRange,OverRange,OverRange,10.064138,12.686066,-5.282545
2026/06/09 00:29:00.258,n,-4.902125,4.027504,4.391497,0.900603,OverRange,OverRange,OverRange,9.915004,12.669928,-5.194663
2026/06/09 00:30:00.260,n,-4.963452,4.128228,5.058804,1.278318,OverRange,OverRange,OverRange,9.977606,12.66239,-5.077772
2026/06/09 00:31:00.262,n,-5.048773,5.681443,4.985083,1.07418,OverRange,OverRange,OverRange,10.053956,12.643062,-5.161729
2026/06/09 00:32:00.263,n,-4.957807,5.688671,5.714142,0.127214,OverRange,OverRange,OverRange,10.000032,12.631208,-5.192872
2026/06/09 00:33:00.266,n,-4.8934,4.446723,5.657843,0.604669,OverRange,OverRange,OverRange,10.051922,12.620494,-5.233741
2026/06/09 00:34:00.270,n,-4.861196,4.97166,4.628703,1.13247,OverRange,OverRange,OverRange,10.050908,12.611846,-5.112839
2026/06/09 00:35:00.271,n,-4.855167,3.733248,4.369616,1.194754,OverRange,OverRange,OverRange,10.02267,12.628552,-5.237665
2026/06/09 00:36:00.274,n,-4.556866,3.80864,4.898339,1.185369,OverRange,OverRange,OverRange,10.035992,12.614582,-4.964891
2026/06/09 00:37:00.259,n,-4.471931,5.651686,5.481566,0.765902,OverRange,OverRange,OverRange,10.10902,12.60058,-5.005846
2026/06/09 00:38:00.260,n,-4.401751,5.341315,5.590729,1.039609,OverRange,OverRange,OverRange,10.090184,12.603834,-5.054565
2026/06/09 00:39:00.262,n,-4.3988,5.294247,4.765446,0.84051,OverRange,OverRange,OverRange,10.053808,12.585568,-5.019497
2026/06/09 00:40:00.265,n,-4.39572,6.327284,5.454116,1.364811,OverRange,OverRange,OverRange,10.064992,12.58125,-4.98059
2026/06/09 00:41:00.267,n,-4.419071,4.166391,4.290864,0.993699,OverRange,OverRange,OverRange,10.030396,12.572622,-4.912418
2026/06/09 00:42:00.269,n,-4.454482,4.038363,4.506577,1.18286,OverRange,OverRange,OverRange,10.0678,12.567264,-4.951325
2026/06/09 00:43:00.268,n,-4.46898,6.199482,4.81814,0.965731,OverRange,OverRange,OverRange,10.14005,12.5608,-4.925984
2026/06/09 00:44:00.270,n,-4.42818,5.290372,4.395204,1.137697,OverRange,OverRange,OverRange,10.114598,12.556502,-4.959259
2026/06/09 00:45:00.272,n,-4.328106,4.572977,4.748783,1.046422,OverRange,OverRange,OverRange,10.187878,12.558682,-4.964977
2026/06/09 00:46:00.258,n,-4.196726,6.363941,4.926508,1.618204,OverRange,OverRange,OverRange,10.149964,12.543572,-4.849877
2026/06/09 00:47:00.260,n,-4.117564,6.335915,4.741812,1.264566,OverRange,OverRange,OverRange,10.116384,12.544648,-4.70773
2026/06/09 00:48:00.262,n,-4.176069,3.56998,4.867481,1.125275,OverRange,OverRange,OverRange,10.027844,12.537126,-4.750562
2026/06/09 00:49:00.265,n,-4.111662,4.612125,5.137162,1.164772,OverRange,OverRange,OverRange,10.061448,12.535008,-4.668567
2026/06/09 00:50:00.269,n,-4.237654,6.014368,4.893358,1.049846,OverRange,OverRange,OverRange,10.084072,12.528512,-4.688191
2026/06/09 00:51:00.271,n,-4.202371,3.480269,4.892029,1.581947,OverRange,OverRange,OverRange,10.06397,12.533932,-4.643397
2026/06/09 00:52:00.271,n,-4.184793,6.396587,5.060237,1.214571,OverRange,OverRange,OverRange,10.156078,12.530678,-4.729146
2026/06/09 00:53:00.272,n,-4.035451,3.49971,4.652016,1.259175,OverRange,OverRange,OverRange,10.133412,12.526394,-4.594679
2026/06/09 00:54:00.274,n,-4.041609,6.177428,5.039602,1.313663,OverRange,OverRange,OverRange,10.187608,12.52208,-4.518657
2026/06/09 00:55:00.260,n,-3.883414,5.937203,4.843917,1.367004,OverRange,OverRange,OverRange,10.148946,12.523186,-4.489476
2026/06/09 00:56:00.263,n,-3.871611,5.107201,5.389151,1.04524,OverRange,OverRange,OverRange,10.14617,12.523186,-4.50509
2026/06/09 00:57:00.264,n,-3.804381,3.198958,4.667853,1.41763,OverRange,OverRange,OverRange,10.131908,12.524246,-4.425229
2026/06/09 00:58:00.265,n,-3.772049,5.864348,5.488085,1.066755,OverRange,OverRange,OverRange,10.220444,12.525288,-4.325658
2026/06/09 00:59:00.267,n,-3.719446,6.271516,5.750489,0.775849,OverRange,OverRange,OverRange,10.17923,12.524246,-4.317979
2026/06/09 01:00:00.270,n,-3.637461,3.554714,5.701529,1.068205,OverRange,OverRange,OverRange,10.120982,12.527438,-4.251598
2026/06/09 01:01:00.271,n,-3.757551,5.779795,5.171011,1.170984,OverRange,OverRange,OverRange,10.152762,12.530678,-4.181463
2026/06/09 01:02:00.274,n,-3.698661,6.064418,5.106419,1.373103,OverRange,OverRange,OverRange,10.137238,12.528512,-4.189314
2026/06/09 01:03:00.276,n,-3.643107,3.506356,5.604809,1.051983,OverRange,OverRange,OverRange,10.159892,12.530678,-4.274977
2026/06/09 01:04:00.261,n,-3.672231,6.027596,5.22992,0.970193,OverRange,OverRange,OverRange,10.1922,12.528512,-4.072508
2026/06/09 01:05:00.266,n,-3.657733,4.110661,4.334658,0.867809,OverRange,OverRange,OverRange,10.14616,12.525288,-4.070545
2026/06/09 01:06:00.264,n,-3.70174,6.329513,4.637754,1.248848,OverRange,OverRange,OverRange,10.21076,12.524246,-3.977032
2026/06/09 01:07:00.267,n,-3.728042,6.195524,5.422614,1.06955,OverRange,OverRange,OverRange,10.208222,12.52208,-4.086074
2026/06/09 01:08:00.267,n,-3.792705,3.346603,4.359414,1.094037,OverRange,OverRange,OverRange,10.196774,12.52208,-4.185389
2026/06/09 01:09:00.269,n,-3.830683,4.507149,5.026507,1.305112,OverRange,OverRange,OverRange,10.257792,12.523186,-4.257486
2026/06/09 01:10:00.271,n,-3.766019,6.258727,5.059879,1.301053,OverRange,OverRange,OverRange,10.25323,12.523186,-4.1737
2026/06/09 01:11:00.275,n,-3.777951,6.28902,4.98117,1.21385,OverRange,OverRange,OverRange,10.229066,12.524246,-4.130953
2026/06/09 01:12:00.275,n,-3.851083,5.947655,5.117453,1.293104,OverRange,OverRange,OverRange,10.235688,12.525288,-4.152284
2026/06/09 01:13:00.261,n,-3.894961,6.170895,4.817729,1.414569,OverRange,OverRange,OverRange,10.231598,12.526394,-4.152198
2026/06/09 01:14:00.263,n,-3.971172,6.334515,5.236768,1.439523,OverRange,OverRange,OverRange,10.187872,12.52208,-4.126943
