"Timestamp","TZ","GHI1_AV (W/m2)","UVB22013 (W/m2)","UVB22013_AV (W/m2)","UVB22013_SD (W/m2)","UVB22012 (W/m2)","UVB22012_AV (W/m2)","UVB22012_SD (W/m2)","TA_AV (degC)","TL (degC)","GTI_AV (W/m2)"
2026/06/01 00:00:00.277,n,-3.1512,3.286159,4.785576,1.379008,OverRange,OverRange,OverRange,11.11018,14.16161,-3.692142
2026/06/01 00:01:00.262,n,-3.177374,5.538604,5.033751,1.449059,OverRange,OverRange,OverRange,11.132742,14.149818,-3.680367
2026/06/01 00:02:00.263,n,-3.153895,3.268542,5.116955,1.476242,OverRange,OverRange,OverRange,11.195598,14.143316,-3.657074
2026/06/01 00:03:00.266,n,-2.875867,5.257313,5.191915,1.446256,OverRange,OverRange,OverRange,11.235134,14.139066,-3.487625
2026/06/01 00:04:00.269,n,-3.022386,6.620801,5.226305,1.662828,OverRange,OverRange,OverRange,11.14996,14.134748,-3.561513
2026/06/01 00:05:00.272,n,-2.83789,6.4883,4.705967,1.55383,OverRange,OverRange,OverRange,11.124868,14.127204,-3.419538
2026/06/01 00:06:00.271,n,-2.79106,3.023295,4.389274,1.517667,OverRange,OverRange,OverRange,11.098786,14.126164,-3.438991
2026/06/01 00:07:00.275,n,-2.779256,3.172193,5.275166,1.589954,OverRange,OverRange,OverRange,11.15097,14.124014,-3.395989
2026/06/01 00:08:00.276,n,-2.93758,3.219488,4.882263,1.713673,OverRange,OverRange,OverRange,11.135504,14.118622,-3.470219
2026/06/01 00:09:00.278,n,-2.905119,4.962832,5.071812,1.558019,OverRange,OverRange,OverRange,11.166444,14.11647,-3.460407
2026/06/01 00:10:00.262,n,-2.981587,6.523584,4.904806,1.754418,OverRange,OverRange,OverRange,11.152486,14.115378,-3.514928
2026/06/01 00:11:00.266,n,-2.931549,6.105398,5.456163,1.189217,OverRange,OverRange,OverRange,11.185456,14.114336,-3.503324
