"Timestamp","TZ","GHI1_AV (W/m2)","UVB22013 (W/m2)","UVB22013_AV (W/m2)","UVB22013_SD (W/m2)","UVB22012 (W/m2)","UVB22012_AV (W/m2)","UVB22012_SD (W/m2)","TA_AV (degC)","TL (degC)","GTI_AV (W/m2)"
2026/05/26 00:00:00.279,n,-3.832735,3.491995,4.622722,1.549383,OverRange,OverRange,OverRange,11.528218,13.734866,-4.457566
2026/05/26 00:01:00.265,n,-3.806562,6.228389,5.204169,1.39104,OverRange,OverRange,OverRange,11.521138,13.73376,-4.412772
2026/05/26 00:02:00.266,n,-3.973354,6.081846,5.109646,1.412743,OverRange,OverRange,OverRange,11.499374,13.729444,-4.514049
2026/05/26 00:03:00.268,n,-3.98798,4.056554,4.501885,1.391202,OverRange,OverRange,OverRange,11.47253,13.721934,-4.685547
2026/05/26 00:04:00.270,n,-4.10807,3.712539,3.916736,0.113805,OverRange,OverRange,OverRange,11.556596,13.727292,-4.558843
2026/05/26 00:05:00.271,n,-4.081896,6.213774,6.055163,0.193807,OverRange,OverRange,OverRange,11.592526,13.723008,-4.728463
2026/05/26 00:06:00.274,n,-3.92075,6.65704,4.249196,1.193795,OverRange,OverRange,OverRange,11.515066,13.727292,-4.654489
2026/05/26 00:07:00.277,n,-3.85352,4.956051,5.571885,1.135843,OverRange,OverRange,OverRange,11.49228,13.725126,-4.738105
2026/05/26 00:08:00.279,n,-3.950131,3.944524,4.840154,1.455381,OverRange,OverRange,OverRange,11.481888,13.729444,-4.747917
2026/05/26 00:09:00.281,n,-3.958856,3.482361,5.022452,1.369264,OverRange,OverRange,OverRange,11.532018,13.7284,-4.720699
2026/05/26 00:10:00.265,n,-3.967708,6.537031,4.681625,1.445984,OverRange,OverRange,OverRange,11.550522,13.73376,-4.629063
2026/05/26 00:11:00.269,n,-3.891497,4.007781,4.952261,1.505522,OverRange,OverRange,OverRange,11.483668,13.734866,-4.718652
2026/05/26 00:12:00.269,n,-3.906124,6.475693,4.961983,1.265478,OverRange,OverRange,OverRange,11.541412,13.729444,-4.553127
2026/05/26 00:13:00.272,n,-3.771279,3.233951,4.920367,1.389128,OverRange,OverRange,OverRange,11.562654,13.732698,-4.673687
2026/05/26 00:14:00.274,n,-3.791808,6.856434,4.466803,1.211893,OverRange,OverRange,OverRange,11.564688,13.73591,-4.568741
2026/05/26 00:15:00.275,n,-3.695325,3.859249,5.336645,1.39696,OverRange,OverRange,OverRange,11.434036,13.732698,-4.578296
2026/05/26 00:16:00.278,n,-4.040583,6.237789,5.187691,1.297429,OverRange,OverRange,OverRange,11.488724,13.731626,-4.592034
2026/05/26 00:17:00.280,n,-3.967451,6.301739,5.053043,1.489262,OverRange,OverRange,OverRange,11.429246,13.730516,-4.582222
2026/05/26 00:18:00.283,n,-3.991059,3.869375,4.464303,1.209078,OverRange,OverRange,OverRange,11.395544,13.7284,-4.521899
2026/05/26 00:19:00.269,n,-3.985285,6.764461,5.489674,1.433636,OverRange,OverRange,OverRange,11.4183,13.720858,-4.5062
2026/05/26 00:20:00.270,n,-4.040583,6.282714,5.323124,1.202743,OverRange,OverRange,OverRange,11.388692,13.725126,-4.591948
2026/05/26 00:21:00.279,n,-4.037632,6.131305,5.804871,0.955078,OverRange,OverRange,OverRange,11.446706,13.715434,-4.743907
2026/05/26 00:22:00.273,n,-4.03173,6.642199,4.461446,1.230482,OverRange,OverRange,OverRange,11.381114,13.717618,-4.636998
2026/05/26 00:23:00.275,n,-4.143224,3.316403,4.717763,1.350439,OverRange,OverRange,OverRange,11.3322,13.70361,-4.808325
2026/05/26 00:24:00.277,n,-4.152077,3.95994,4.335027,1.215533,OverRange,OverRange,OverRange,11.36286,13.701444,-4.658329
2026/05/26 00:25:00.280,n,-4.219435,5.98556,5.345267,1.006825,OverRange,OverRange,OverRange,11.46367,13.7004,-4.751927
2026/05/26 00:26:00.284,n,-4.017489,3.177929,5.704116,1.239794,OverRange,OverRange,OverRange,11.286602,13.699326,-4.74988
